run_id,firm_id,company,relative_timepoint,archive_timestamp,n_high_priority_pages_discovered,n_high_priority_pages_fetched,n_high_priority_pages_missing,n_secondary_pages_fetched,n_broad_pages_fetched,n_foreign_pages_deprioritized,crawl_limit_reached,unused_reserved_slots,pages_fetched
508f1903-71e7-4aab-aba6-000fed4d8b7d,24,VIESSMANN CLIMATE SOLUTIONS / VIESSMANN GROUP,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,25,BIRKENSTOCK GROUP,pre_pre_event,20170701215652.0,5,5,0,0,20,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,25,BIRKENSTOCK GROUP,pre_event,20190624084147.0,5,5,0,0,20,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,25,BIRKENSTOCK GROUP,event,20210403233452.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,25,BIRKENSTOCK GROUP,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,25,BIRKENSTOCK GROUP,post_post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,26,RIMOWA GMBH,pre_pre_event,20120505102804.0,1,1,0,0,24,7,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,26,RIMOWA GMBH,pre_event,20140702211240.0,24,24,0,0,1,1,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,26,RIMOWA GMBH,event,20160630115200.0,24,24,0,0,1,1,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,26,RIMOWA GMBH,post_event,20180701032350.0,2,2,0,2,21,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,26,RIMOWA GMBH,post_post_event,20200626230349.0,5,5,0,1,19,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,27,DOUGLAS HOLDING / DOUGLAS GROUP,pre_pre_event,20080701071152.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,27,DOUGLAS HOLDING / DOUGLAS GROUP,pre_event,20090215074945.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,27,DOUGLAS HOLDING / DOUGLAS GROUP,event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,27,DOUGLAS HOLDING / DOUGLAS GROUP,post_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,27,DOUGLAS HOLDING / DOUGLAS GROUP,post_post_event,20170727054939.0,7,7,0,8,10,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,29,CONDITOREI COPPENRATH & WIESE KG,pre_pre_event,20110703003559.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,29,CONDITOREI COPPENRATH & WIESE KG,pre_event,20130708032813.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,29,CONDITOREI COPPENRATH & WIESE KG,event,20150628204035.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,29,CONDITOREI COPPENRATH & WIESE KG,post_event,20170713151440.0,1,1,0,1,3,0,False,0,5
508f1903-71e7-4aab-aba6-000fed4d8b7d,29,CONDITOREI COPPENRATH & WIESE KG,post_post_event,20190626103642.0,20,20,0,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,30,DR. AUGUST OETKER KG / OETKER-GRUPPE,pre_pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,30,DR. AUGUST OETKER KG / OETKER-GRUPPE,pre_event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,30,DR. AUGUST OETKER KG / OETKER-GRUPPE,event,,0,0,0,0,1,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,30,DR. AUGUST OETKER KG / OETKER-GRUPPE,post_event,20240720130831.0,3,3,0,9,13,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,30,DR. AUGUST OETKER KG / OETKER-GRUPPE,post_post_event,20241110181644.0,2,2,0,10,13,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,28,CANYON BICYCLES GMBH,pre_pre_event,20160814214247.0,1,1,0,0,0,0,False,0,1
508f1903-71e7-4aab-aba6-000fed4d8b7d,28,CANYON BICYCLES GMBH,pre_event,20180716035226.0,10,10,0,13,2,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,28,CANYON BICYCLES GMBH,event,20200627151022.0,6,6,0,1,18,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,28,CANYON BICYCLES GMBH,post_event,20220701055135.0,2,2,0,0,23,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,28,CANYON BICYCLES GMBH,post_post_event,20240701122414.0,3,3,0,1,21,0,True,0,25
