run_id,firm_id,company,relative_timepoint,target_date,selected_capture_date,snapshot_status,observation_recommendation,analysis_eligible,n_pages_total,n_pages_fetch_success,n_pages_extraction_usable,n_branding_pages_eligible,n_branding_pages_excluded,n_unique_branding_pages,n_impressum_pages,n_legal_technical_pages,n_duplicate_pages,n_duplicate_pages_within_observation,duplicate_tokens_removed,duplicate_words_removed,deduplication_applied,total_word_count_all_usable_pages,total_token_count_all_usable_pages,branding_word_count,branding_token_count,governance_metadata_word_count,detected_primary_language,language_distribution_json,n_pages_language_unknown,n_pages_de,n_pages_en,n_pages_other,n_pages_unknown,tokens_de,tokens_en,tokens_other,tokens_unknown,primary_language_by_tokens,german_text_analysis_eligible,german_text_analysis_exclusion_reason,text_analysis_eligible,text_analysis_exclusion_reason,text_analysis_quality_band
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,DM-DROGERIE MARKT GMBH + CO. KG,post_event,2021-07-01,2021-07-13,selected,include,True,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_branding_pages,False,no_branding_pages,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,DM-DROGERIE MARKT GMBH + CO. KG,post_post_event,2023-07-01,2023-07-01,selected,include,True,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_branding_pages,False,no_branding_pages,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,TRIGEMA W. GRUPP KG,pre_pre_event,2020-07-01,2020-06-29,selected,include,True,25,22,22,22,0,22,0,0,0,0,0,0,True,10707,10707,10707,10707,0,de,"{""de"": 9604, ""en"": 1103}",0,19,3,0,0,9604,1103,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,TRIGEMA W. GRUPP KG,pre_event,2022-07-01,2022-07-01,selected,include,True,25,18,18,18,0,18,0,3,2,2,92,92,True,9083,9083,9083,9083,0,de,"{""de"": 9083}",0,18,0,0,0,9083,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,TRIGEMA W. GRUPP KG,event,2024-07-01,2024-07-03,selected,include,True,25,25,25,25,0,25,0,0,0,0,0,0,True,24584,24584,24584,24584,0,de,"{""de"": 24584}",0,25,0,0,0,24584,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,TRIGEMA W. GRUPP KG,post_event,2026-07-01,2026-07-16,selected,include,True,25,21,21,21,0,21,0,0,0,0,0,0,True,18041,18041,18041,18041,0,de,"{""de"": 18041}",0,21,0,0,0,18041,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,TRIGEMA W. GRUPP KG,post_post_event,2028-07-01,,future_unavailable,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,pre_pre_event,2015-07-01,2015-07-04,selected,include,True,25,24,24,13,11,13,0,8,9,9,1089,1089,True,4265,4265,3096,3096,0,en,"{""en"": 3096}",0,0,13,0,0,0,3096,0,0,en,False,no_german_branding_pages,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,pre_event,2017-07-01,2016-04-09,selected,sensitivity_analysis,True,25,20,20,14,6,14,0,4,6,6,788,788,True,3436,3436,2648,2648,0,en,"{""en"": 2648}",0,0,14,0,0,0,2648,0,0,en,False,no_german_branding_pages,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,event,2019-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
